number,timestamp,blobGasUsed,excessBlobGas,blobGasPrice
22431084,2025-05-07T10:05:11.000Z,1179648,50462720,23789
22431085,2025-05-07T10:05:23.000Z,1048576,50855936,25732
22431086,2025-05-07T10:05:35.000Z,0,51118080,27115
22431087,2025-05-07T10:05:47.000Z,0,50331648,23174
22431088,2025-05-07T10:06:11.000Z,524288,49545216,19806
22431089,2025-05-07T10:06:23.000Z,0,49283072,18796
22431090,2025-05-07T10:06:35.000Z,0,48496640,16064
22431091,2025-05-07T10:06:47.000Z,1179648,47710208,13730
22431092,2025-05-07T10:07:11.000Z,1179648,48103424,14851
22431093,2025-05-07T10:07:23.000Z,0,48496640,16064
22431094,2025-05-07T10:07:47.000Z,393216,47710208,13730
22431095,2025-05-07T10:07:59.000Z,0,47316992,12693
22431096,2025-05-07T10:08:11.000Z,0,46530560,10848
22431097,2025-05-07T10:08:23.000Z,1048576,45744128,9271
22431098,2025-05-07T10:08:35.000Z,1048576,46006272,9770
22431099,2025-05-07T10:08:47.000Z,0,46268416,10295
22431100,2025-05-07T10:08:59.000Z,0,45481984,8798
22431101,2025-05-07T10:09:11.000Z,655360,44695552,7520
22431102,2025-05-07T10:09:23.000Z,0,44564480,7325
22431103,2025-05-07T10:09:35.000Z,131072,43778048,6261
22431104,2025-05-07T10:09:47.000Z,0,43122688,5493
22431105,2025-05-07T10:09:59.000Z,1048576,42336256,4694
22431106,2025-05-07T10:10:11.000Z,1048576,42598400,4947
22431107,2025-05-07T10:10:35.000Z,1048576,42860544,5212
22431108,2025-05-07T10:10:47.000Z,0,43122688,5493
22431109,2025-05-07T10:10:59.000Z,0,42336256,4694
22431110,2025-05-07T10:11:11.000Z,0,41549824,4012
22431111,2025-05-07T10:11:23.000Z,0,40763392,3429
22431112,2025-05-07T10:11:35.000Z,1179648,39976960,2930
22431113,2025-05-07T10:11:47.000Z,0,40370176,3170
22431114,2025-05-07T10:11:59.000Z,0,39583744,2709
22431115,2025-05-07T10:12:11.000Z,0,38797312,2315
22431116,2025-05-07T10:12:23.000Z,0,38010880,1979
22431117,2025-05-07T10:12:35.000Z,131072,37224448,1691
22431118,2025-05-07T10:12:47.000Z,0,36569088,1484
22431119,2025-05-07T10:12:59.000Z,0,35782656,1268
22431120,2025-05-07T10:13:11.000Z,1048576,34996224,1084
22431121,2025-05-07T10:13:23.000Z,786432,35258368,1142
22431122,2025-05-07T10:13:35.000Z,393216,35258368,1142
22431123,2025-05-07T10:13:47.000Z,786432,34865152,1056
22431124,2025-05-07T10:13:59.000Z,1048576,34865152,1056
22431125,2025-05-07T10:14:11.000Z,655360,35127296,1112
22431126,2025-05-07T10:14:23.000Z,0,34996224,1084
22431127,2025-05-07T10:14:35.000Z,655360,34209792,926
22431128,2025-05-07T10:14:59.000Z,786432,34078720,902
22431129,2025-05-07T10:15:11.000Z,131072,34078720,902
22431130,2025-05-07T10:15:23.000Z,0,33423360,791
22431131,2025-05-07T10:15:35.000Z,1048576,32636928,676
22431132,2025-05-07T10:15:47.000Z,0,32899072,713
22431133,2025-05-07T10:15:59.000Z,524288,32112640,609
22431134,2025-05-07T10:16:11.000Z,524288,31850496,578
22431135,2025-05-07T10:16:23.000Z,786432,31588352,548
22431136,2025-05-07T10:16:35.000Z,655360,31588352,548
22431137,2025-05-07T10:16:47.000Z,655360,31457280,534
22431138,2025-05-07T10:16:59.000Z,655360,31326208,520
22431139,2025-05-07T10:17:11.000Z,0,31195136,507
22431140,2025-05-07T10:17:23.000Z,1179648,30408704,433
22431141,2025-05-07T10:17:35.000Z,0,30801920,469
22431142,2025-05-07T10:17:47.000Z,1048576,30015488,400
22431143,2025-05-07T10:17:59.000Z,0,30277632,422
22431144,2025-05-07T10:18:11.000Z,131072,29491200,361
22431145,2025-05-07T10:18:23.000Z,0,28835840,316
22431146,2025-05-07T10:18:35.000Z,786432,28049408,270
22431147,2025-05-07T10:18:47.000Z,393216,28049408,270
22431148,2025-05-07T10:18:59.000Z,0,27656192,250
22431149,2025-05-07T10:19:11.000Z,0,26869760,213
22431150,2025-05-07T10:19:23.000Z,0,26083328,182
22431151,2025-05-07T10:19:35.000Z,0,25296896,156
22431152,2025-05-07T10:19:47.000Z,917504,24510464,133
22431153,2025-05-07T10:19:59.000Z,786432,24641536,137
22431154,2025-05-07T10:20:11.000Z,917504,24641536,137
22431155,2025-05-07T10:20:23.000Z,0,24772608,140
22431156,2025-05-07T10:20:35.000Z,0,23986176,120
22431157,2025-05-07T10:20:47.000Z,1048576,23199744,102
22431158,2025-05-07T10:20:59.000Z,655360,23461888,108
22431159,2025-05-07T10:21:11.000Z,0,23330816,105
22431160,2025-05-07T10:21:23.000Z,393216,22544384,90
22431161,2025-05-07T10:21:35.000Z,655360,22151168,83
22431162,2025-05-07T10:21:47.000Z,0,22020096,81
22431163,2025-05-07T10:21:59.000Z,0,21233664,69
22431164,2025-05-07T10:22:11.000Z,131072,20447232,59
22431165,2025-05-07T10:22:23.000Z,0,19791872,52
22431166,2025-05-07T10:22:35.000Z,0,19005440,44
22431167,2025-05-07T10:22:47.000Z,0,18219008,38
22431168,2025-05-07T10:22:59.000Z,0,17432576,32
22431169,2025-05-07T10:23:11.000Z,786432,16646144,27
22431170,2025-05-07T10:23:23.000Z,0,16646144,27
22431171,2025-05-07T10:23:35.000Z,0,15859712,23
22431172,2025-05-07T10:23:47.000Z,0,15073280,20
22431173,2025-05-07T10:23:59.000Z,1048576,14286848,17
22431174,2025-05-07T10:24:11.000Z,0,14548992,18
22431175,2025-05-07T10:24:23.000Z,786432,13762560,15
22431176,2025-05-07T10:24:35.000Z,262144,13762560,15
22431177,2025-05-07T10:24:47.000Z,0,13238272,14
22431178,2025-05-07T10:24:59.000Z,0,12451840,12
22431179,2025-05-07T10:25:11.000Z,655360,11665408,10
22431180,2025-05-07T10:25:23.000Z,1048576,11534336,10
22431181,2025-05-07T10:25:35.000Z,0,11796480,10
22431182,2025-05-07T10:25:47.000Z,0,11010048,9
22431183,2025-05-07T10:25:59.000Z,0,10223616,7
22431184,2025-05-07T10:26:11.000Z,1048576,9437184,6
22431185,2025-05-07T10:26:23.000Z,0,9699328,6
22431186,2025-05-07T10:26:35.000Z,0,8912896,5
22431187,2025-05-07T10:26:59.000Z,1048576,8126464,5
22431188,2025-05-07T10:27:11.000Z,0,8388608,5
